20220901	23:34:52	a990b88b-58c4-45da-976a-eda96d9fb577	POST	undefined	/register
20220905	21:45:12	5fd9eb91-3c81-45a5-b978-bda089517d5f	GET	undefined	/employees
20220905	22:30:26	12c5546d-caa9-4c7e-8313-5d0ff21774aa	GET	undefined	/refresh
20220905	22:35:26	164b8139-a035-4a43-b88d-9d654171d325	GET	undefined	/employees
20220905	22:36:01	41eb53d4-2996-4bfe-8136-be30dc7b1da7	GET	undefined	/employees/1
20220905	22:36:20	b9f0d434-3437-4563-b70e-1e65c0267881	GET	undefined	/employees/1
20220905	22:41:37	5f3d5891-e8d7-4721-8dbd-ea3cc159487f	POST	undefined	/auth
20220905	22:56:14	9c884847-49df-48d7-acab-26a627f3aebc	GET	undefined	/logout
20220905	22:57:27	d9dcfb66-cf78-45ed-a8e5-605a3ac74354	GET	undefined	/refresh
20220905	22:59:18	104675f3-697f-412d-8c4f-c300a73b4b2f	GET	undefined	/refresh
20220905	23:00:04	981c6641-a3c3-40fd-98f1-7fec8e44402c	POST	undefined	/auth
20220905	23:29:05	2224a8da-32a6-45a2-8872-08b924994a9e	POST	undefined	/auth
20220909	00:51:42	c731f9fa-72d6-429b-baa6-f2380eac4da0	POST	undefined	/auth
20220909	00:57:16	99246fef-8665-4c97-9d93-82772fa664cd	GET	undefined	/employees/1
20220909	00:57:21	ca2f6331-4a07-445d-b71d-6c4fa9d27c7c	GET	undefined	/employees
20220909	00:57:23	c528584c-6fc6-44e1-91a5-195af60987f3	GET	undefined	/employees
20220909	00:58:11	e91f636e-a856-4a64-8a70-3dedbf01cfed	GET	undefined	/employees
20220909	00:59:36	2eca0cc5-7d6e-4638-a140-83fe0ff69cf3	GET	undefined	/employees/1
20220909	00:59:41	43af03bc-a8c2-4d36-aeff-e1ec7ab611be	GET	undefined	/employees
20220909	01:02:25	b1e516ca-6275-497f-86a6-c6a57aa9a2fc	POST	undefined	/auth
20220909	01:15:06	d1e3dd4f-7af7-4b54-bea2-561ee7d7fdf4	GET	undefined	/
20220909	01:15:07	60e192f6-f924-45fc-bf5d-ac0ea4c0ecc9	GET	undefined	/favicon.ico
20220909	01:20:27	2d7a6ac1-0750-4971-86cb-91bf3464fcf4	POST	undefined	/auth
20220909	01:20:42	055a4058-dbca-4e51-9606-408f2cfe8564	POST	undefined	/auth
20220909	01:21:05	116700d5-429b-4bcf-ac51-b54d14ef1dc9	POST	undefined	/auth
20220909	01:21:22	c1253035-8b3f-4774-8b2c-c436bbde4c83	POST	undefined	/auth
20220909	01:22:25	8149ef11-dcec-45ca-af8b-5f28a0a13ba3	GET	undefined	/auth
20220909	01:27:10	a8ac5915-ed69-497b-84c0-d5b3da003ddc	POST	undefined	/auth
20220909	01:30:04	4f4613ab-f700-4565-9680-159783633fb1	POST	undefined	/auth
20220909	01:30:10	8d881196-1c09-482a-8c5d-34e4a940f011	POST	undefined	/auth
20220909	01:30:21	152530e3-d7cb-4802-a93b-659200f320ba	POST	undefined	/auth
20220909	01:33:18	2bbecc3a-f5da-477a-b796-e00145e421ee	POST	undefined	/auth
20220909	01:33:37	86c50f75-1917-447a-a988-92e49e3c9813	GET	undefined	/employees
20220909	01:34:05	a3577510-0308-4f99-86dd-62c8c8caeff6	POST	undefined	/auth
20220909	01:34:17	9ee6debb-132b-4fdb-b475-66b2584b1603	GET	undefined	/employees
20220909	01:34:50	c652ba3a-bbbd-467a-948d-93d2eb3eabd6	PUT	undefined	/employees
20220909	01:35:22	1872c06f-3f3c-46bd-a83c-2deed3499add	POST	undefined	/employees
20220909	01:35:27	0dfbdb25-6512-45e6-815c-583f630f4299	POST	undefined	/auth
20220909	01:35:38	0ee56ad3-e91b-4b40-8dc7-8522ecfd315c	POST	undefined	/employees
20220909	01:35:54	54b226c7-c9e6-40fa-b0e2-f99d100db2d3	DELETE	undefined	/employees
20220909	01:36:09	fffcf50d-6521-436a-a232-c60bd46a237b	POST	undefined	/auth
20220909	01:36:26	7bc5c9ee-8bdc-4647-bf23-0a29ef2870b3	DELETE	undefined	/employees
20220909	01:37:17	2851a91a-d317-4aae-a102-0f48ec855cb4	POST	undefined	/auth
20220909	01:37:29	038226a6-5d39-4624-9714-914aba8b627b	DELETE	undefined	/employees
20220909	01:37:50	a2bbb68c-8e62-439c-ab26-c2977ceb0217	POST	undefined	/auth
20220909	01:38:01	5413b014-c0ef-4371-9d04-556c89401cd9	POST	undefined	/employees
20220909	01:38:08	b128a8f8-4b6e-4df2-8152-bc5f5309875d	DELETE	undefined	/employees
20220909	15:53:38	4dfd58d3-456f-442a-b566-8a9d33fd9225	POST	undefined	/register
20220909	15:55:14	3e40fde7-8850-4dc7-a1c9-343883522682	POST	undefined	/register
20220909	16:13:09	181871d8-a6b6-439b-af47-1079a9a7814f	POST	undefined	/register
20220909	16:19:51	e6f27390-1a56-4a10-98c5-eee6e264579f	POST	undefined	/register
20220909	17:00:40	504981ba-e3d1-4328-8be3-90cab356717c	POST	undefined	/register
